row_family,surface_label,surface_index,source_path,case_id,memory_kind,memory_model_family,memory_requests_total,real_home_traffic_signal_level,real_home_traffic_signal_rank,runtime_pressure_transfer_kind,runtime_alignment_evaluable,home_stack_controller_proxy_available,real_controller_pressure_available_from_summary,processing_runtime_mode,active_controller_count,most_pressured_runtime_controller_id,dominant_home_controller_ids,semantic_addressing_enabled,traffic_runtime_enabled,home_access_pressure_enabled,real_synapse_source_count,controller_explainable,explainability_level,explainability_level_rank,preserved_real_traffic_reasons,preserved_real_traffic_reason_count,reference_surface_label,compare_surface_label,signal_level_from,signal_level_to,transfer_kind_from,transfer_kind_to,explainability_level_from,explainability_level_to,explainability_level_rank_from,explainability_level_rank_to,explainability_rank_delta,controller_explainable_from,controller_explainable_to,explainability_transition,loss_reason_count,loss_reasons,reason_family,reason
loss_reason,,,,full_3d,,,,,,,,,,,,,,,,,,,,,,,controller_runtime_refresh_20260322,perf_20us,,,,,,,,,,,,,,,preserved_real_traffic,real_synapse_sources_present
loss_reason,,,,full_3d,,,,,,,,,,,,,,,,,,,,,,,controller_runtime_refresh_20260322,perf_20us,,,,,,,,,,,,,,,preserved_real_traffic,semantic_addressing_enabled
loss_reason,,,,full_3d,,,,,,,,,,,,,,,,,,,,,,,controller_runtime_refresh_20260322,perf_20us,,,,,,,,,,,,,,,preserved_real_traffic,traffic_runtime_enabled
loss_reason,,,,full_3d,,,,,,,,,,,,,,,,,,,,,,,controller_runtime_refresh_20260322,perf_20us,,,,,,,,,,,,,,,preserved_real_traffic,home_access_pressure_enabled
loss_reason,,,,full_3d_monolithic_proxy,,,,,,,,,,,,,,,,,,,,,,,controller_runtime_refresh_20260322,perf_20us,,,,,,,,,,,,,,,loss_reason,controller_proxy_missing
loss_reason,,,,full_3d_monolithic_proxy,,,,,,,,,,,,,,,,,,,,,,,controller_runtime_refresh_20260322,perf_20us,,,,,,,,,,,,,,,loss_reason,controller_runtime_summary_missing
loss_reason,,,,full_3d_monolithic_proxy,,,,,,,,,,,,,,,,,,,,,,,controller_runtime_refresh_20260322,perf_20us,,,,,,,,,,,,,,,loss_reason,runtime_alignment_lost
loss_reason,,,,full_3d_monolithic_proxy,,,,,,,,,,,,,,,,,,,,,,,controller_runtime_refresh_20260322,perf_20us,,,,,,,,,,,,,,,loss_reason,controller_identity_missing
loss_reason,,,,full_3d_monolithic_proxy,,,,,,,,,,,,,,,,,,,,,,,controller_runtime_refresh_20260322,perf_20us,,,,,,,,,,,,,,,loss_reason,dominant_home_controller_ids_missing
loss_reason,,,,full_3d_monolithic_proxy,,,,,,,,,,,,,,,,,,,,,,,controller_runtime_refresh_20260322,perf_20us,,,,,,,,,,,,,,,loss_reason,runtime_mode_missing
loss_reason,,,,full_3d_monolithic_proxy,,,,,,,,,,,,,,,,,,,,,,,controller_runtime_refresh_20260322,perf_20us,,,,,,,,,,,,,,,preserved_real_traffic,real_synapse_sources_present
loss_reason,,,,full_3d_monolithic_proxy,,,,,,,,,,,,,,,,,,,,,,,controller_runtime_refresh_20260322,perf_20us,,,,,,,,,,,,,,,preserved_real_traffic,semantic_addressing_enabled
loss_reason,,,,full_3d_monolithic_proxy,,,,,,,,,,,,,,,,,,,,,,,controller_runtime_refresh_20260322,perf_20us,,,,,,,,,,,,,,,preserved_real_traffic,traffic_runtime_enabled
loss_reason,,,,full_3d_monolithic_proxy,,,,,,,,,,,,,,,,,,,,,,,controller_runtime_refresh_20260322,perf_20us,,,,,,,,,,,,,,,preserved_real_traffic,home_access_pressure_enabled
loss_reason,,,,full_3d_tile_bundle_v3,,,,,,,,,,,,,,,,,,,,,,,controller_runtime_refresh_20260322,perf_20us,,,,,,,,,,,,,,,loss_reason,controller_proxy_missing
loss_reason,,,,full_3d_tile_bundle_v3,,,,,,,,,,,,,,,,,,,,,,,controller_runtime_refresh_20260322,perf_20us,,,,,,,,,,,,,,,loss_reason,controller_runtime_summary_missing
loss_reason,,,,full_3d_tile_bundle_v3,,,,,,,,,,,,,,,,,,,,,,,controller_runtime_refresh_20260322,perf_20us,,,,,,,,,,,,,,,loss_reason,runtime_alignment_lost
loss_reason,,,,full_3d_tile_bundle_v3,,,,,,,,,,,,,,,,,,,,,,,controller_runtime_refresh_20260322,perf_20us,,,,,,,,,,,,,,,loss_reason,controller_identity_missing
loss_reason,,,,full_3d_tile_bundle_v3,,,,,,,,,,,,,,,,,,,,,,,controller_runtime_refresh_20260322,perf_20us,,,,,,,,,,,,,,,loss_reason,dominant_home_controller_ids_missing
loss_reason,,,,full_3d_tile_bundle_v3,,,,,,,,,,,,,,,,,,,,,,,controller_runtime_refresh_20260322,perf_20us,,,,,,,,,,,,,,,loss_reason,runtime_mode_missing
