row_family,surface_label,surface_index,source_path,case_id,memory_kind,memory_model_family,memory_requests_total,real_home_traffic_signal_level,real_home_traffic_signal_rank,runtime_pressure_transfer_kind,runtime_alignment_evaluable,home_stack_controller_proxy_available,real_controller_pressure_available_from_summary,processing_runtime_mode,active_controller_count,most_pressured_runtime_controller_id,dominant_home_controller_ids,semantic_addressing_enabled,traffic_runtime_enabled,home_access_pressure_enabled,real_synapse_source_count,controller_explainable,explainability_level,explainability_level_rank,preserved_real_traffic_reasons,preserved_real_traffic_reason_count,reference_surface_label,compare_surface_label,signal_level_from,signal_level_to,transfer_kind_from,transfer_kind_to,explainability_level_from,explainability_level_to,explainability_level_rank_from,explainability_level_rank_to,explainability_rank_delta,controller_explainable_from,controller_explainable_to,explainability_transition,loss_reason_count,loss_reasons
surface_case,perf_20us_route_refresh_v2,2,/home/xgy/remote/snn3dexp/analysis/codesign_surface/perf_20us_route_nmc_compare_runtime_evidence_refresh/memory_nmc_codesign_surface_summary.json,noc_only_3d,legacy_per_pe,legacy_per_pe,0,synthetic_or_unknown,0,unevaluable,False,True,False,generic_processing,0,-1,,False,False,False,0,False,controller_proxy_only,4,[],0,,,,,,,,,,,,,,,,
surface_case,perf_20us_route_refresh_v2,2,/home/xgy/remote/snn3dexp/analysis/codesign_surface/perf_20us_route_nmc_compare_runtime_evidence_refresh/memory_nmc_codesign_surface_summary.json,full_3d,hbm_like,hbm_like,58560,runtime_controller,5,runtime_class_unresolved,True,True,True,traffic_semantic,16,8,"0,1,2,3",True,True,True,32,True,runtime_controller,5,"['real_synapse_sources_present', 'semantic_addressing_enabled', 'traffic_runtime_enabled', 'home_access_pressure_enabled']",4,,,,,,,,,,,,,,,,
surface_case,perf_20us_route_refresh_v2,2,/home/xgy/remote/snn3dexp/analysis/codesign_surface/perf_20us_route_nmc_compare_runtime_evidence_refresh/memory_nmc_codesign_surface_summary.json,full_3d_monolithic_proxy,monolithic_like,monolithic_like,6144,runtime_controller,5,cross_class_transfer,True,True,True,traffic_semantic,16,0,"8,9",True,True,True,32,True,runtime_controller,5,"['real_synapse_sources_present', 'semantic_addressing_enabled', 'traffic_runtime_enabled', 'home_access_pressure_enabled']",4,,,,,,,,,,,,,,,,
surface_case,perf_20us_route_refresh_v2,2,/home/xgy/remote/snn3dexp/analysis/codesign_surface/perf_20us_route_nmc_compare_runtime_evidence_refresh/memory_nmc_codesign_surface_summary.json,full_3d_mapping,hbm_like,hbm_like,58560,runtime_controller,5,runtime_class_unresolved,True,True,True,traffic_semantic,16,8,"12,13,14,15",True,True,True,32,True,runtime_controller,5,"['real_synapse_sources_present', 'semantic_addressing_enabled', 'traffic_runtime_enabled', 'home_access_pressure_enabled']",4,,,,,,,,,,,,,,,,
surface_case,perf_20us_route_refresh_v2,2,/home/xgy/remote/snn3dexp/analysis/codesign_surface/perf_20us_route_nmc_compare_runtime_evidence_refresh/memory_nmc_codesign_surface_summary.json,full_3d_thermal_guard,hbm_like,hbm_like,58560,runtime_controller,5,runtime_class_unresolved,True,True,True,traffic_semantic,16,8,"12,13,14,15",True,True,True,32,True,runtime_controller,5,"['real_synapse_sources_present', 'semantic_addressing_enabled', 'traffic_runtime_enabled', 'home_access_pressure_enabled']",4,,,,,,,,,,,,,,,,
surface_case,perf_20us_route_refresh_v2,2,/home/xgy/remote/snn3dexp/analysis/codesign_surface/perf_20us_route_nmc_compare_runtime_evidence_refresh/memory_nmc_codesign_surface_summary.json,full_3d_runtime_adaptive,hbm_like,hbm_like,58560,runtime_controller,5,runtime_class_unresolved,True,True,True,traffic_semantic,16,8,"12,13,14,15",True,True,True,32,True,runtime_controller,5,"['real_synapse_sources_present', 'semantic_addressing_enabled', 'traffic_runtime_enabled', 'home_access_pressure_enabled']",4,,,,,,,,,,,,,,,,
surface_case,perf_20us_route_refresh_v2,2,/home/xgy/remote/snn3dexp/analysis/codesign_surface/perf_20us_route_nmc_compare_runtime_evidence_refresh/memory_nmc_codesign_surface_summary.json,full_3d_tile_bundle_v3,hbm_like,hbm_like,3268,runtime_controller,5,runtime_class_unresolved,True,True,True,traffic_semantic,16,4,"12,13,14,15",True,True,True,32,True,runtime_controller,5,"['real_synapse_sources_present', 'semantic_addressing_enabled', 'traffic_runtime_enabled', 'home_access_pressure_enabled']",4,,,,,,,,,,,,,,,,
surface_case,perf_20us_route_refresh_v2,2,/home/xgy/remote/snn3dexp/analysis/codesign_surface/perf_20us_route_nmc_compare_runtime_evidence_refresh/memory_nmc_codesign_surface_summary.json,noc_only_3d_bundle_fault_v3,legacy_per_pe,legacy_per_pe,0,synthetic_or_unknown,0,unevaluable,False,True,False,generic_processing,0,-1,,False,False,False,0,False,controller_proxy_only,4,[],0,,,,,,,,,,,,,,,,
surface_case,perf_20us_route_refresh_v2,2,/home/xgy/remote/snn3dexp/analysis/codesign_surface/perf_20us_route_nmc_compare_runtime_evidence_refresh/memory_nmc_codesign_surface_summary.json,full_3d_snn_window,hbm_like,hbm_like,416,runtime_controller,5,cross_class_transfer,True,True,True,mixed,16,12,"0,1,2,3",True,True,True,32,True,runtime_controller,5,"['real_synapse_sources_present', 'semantic_addressing_enabled', 'traffic_runtime_enabled', 'home_access_pressure_enabled']",4,,,,,,,,,,,,,,,,
surface_case,perf_20us_route_refresh_v2,2,/home/xgy/remote/snn3dexp/analysis/codesign_surface/perf_20us_route_nmc_compare_runtime_evidence_refresh/memory_nmc_codesign_surface_summary.json,full_3d_snn_window_bundle_v3,hbm_like,hbm_like,1020,runtime_controller,5,aligned_same_controller,True,True,True,mixed,16,0,"0,1,2,3",True,True,True,32,True,runtime_controller,5,"['real_synapse_sources_present', 'semantic_addressing_enabled', 'traffic_runtime_enabled', 'home_access_pressure_enabled']",4,,,,,,,,,,,,,,,,
surface_case,perf_20us_route_refresh_v2,2,/home/xgy/remote/snn3dexp/analysis/codesign_surface/perf_20us_route_nmc_compare_runtime_evidence_refresh/memory_nmc_codesign_surface_summary.json,full_3d_snn_window_monolithic_proxy,monolithic_like,monolithic_like,416,runtime_controller,5,cross_class_transfer,True,True,True,mixed,16,6,"0,1",True,True,True,32,True,runtime_controller,5,"['real_synapse_sources_present', 'semantic_addressing_enabled', 'traffic_runtime_enabled', 'home_access_pressure_enabled']",4,,,,,,,,,,,,,,,,
case_transition,,,,full_3d,,,,,,,,,,,,,,,,,,,,,"['real_synapse_sources_present', 'semantic_addressing_enabled', 'traffic_runtime_enabled', 'home_access_pressure_enabled']",4,controller_runtime_refresh_20260322,codesign_single_20us_20260322,runtime_controller,runtime_controller,runtime_class_unresolved,runtime_class_unresolved,runtime_controller,runtime_controller,5,5,0,True,True,stable,0,[]
case_transition,,,,full_3d_monolithic_proxy,,,,,,,,,,,,,,,,,,,,,"['real_synapse_sources_present', 'semantic_addressing_enabled', 'traffic_runtime_enabled', 'home_access_pressure_enabled']",4,controller_runtime_refresh_20260322,codesign_single_20us_20260322,runtime_controller,runtime_controller,cross_class_transfer,cross_class_transfer,runtime_controller,runtime_controller,5,5,0,True,True,stable,0,[]
case_transition,,,,full_3d_tile_bundle_v3,,,,,,,,,,,,,,,,,,,,,"['real_synapse_sources_present', 'semantic_addressing_enabled', 'traffic_runtime_enabled', 'home_access_pressure_enabled']",4,controller_runtime_refresh_20260322,codesign_single_20us_20260322,runtime_controller,runtime_controller,runtime_class_unresolved,runtime_class_unresolved,runtime_controller,runtime_controller,5,5,0,True,True,stable,0,[]
case_transition,,,,full_3d,,,,,,,,,,,,,,,,,,,,,"['real_synapse_sources_present', 'semantic_addressing_enabled', 'traffic_runtime_enabled', 'home_access_pressure_enabled']",4,controller_runtime_refresh_20260322,perf_20us_route_refresh_v2,runtime_controller,runtime_controller,runtime_class_unresolved,runtime_class_unresolved,runtime_controller,runtime_controller,5,5,0,True,True,stable,0,[]
case_transition,,,,full_3d_monolithic_proxy,,,,,,,,,,,,,,,,,,,,,"['real_synapse_sources_present', 'semantic_addressing_enabled', 'traffic_runtime_enabled', 'home_access_pressure_enabled']",4,controller_runtime_refresh_20260322,perf_20us_route_refresh_v2,runtime_controller,runtime_controller,cross_class_transfer,cross_class_transfer,runtime_controller,runtime_controller,5,5,0,True,True,stable,0,[]
case_transition,,,,full_3d_tile_bundle_v3,,,,,,,,,,,,,,,,,,,,,"['real_synapse_sources_present', 'semantic_addressing_enabled', 'traffic_runtime_enabled', 'home_access_pressure_enabled']",4,controller_runtime_refresh_20260322,perf_20us_route_refresh_v2,runtime_controller,runtime_controller,runtime_class_unresolved,runtime_class_unresolved,runtime_controller,runtime_controller,5,5,0,True,True,stable,0,[]
